t,x_theta,x_theta_dot,y_sin_theta
3.9,0.353086738,3.527117112,0.1869639385
4,0.6719409437,3.188542058,0.3594479367
4.1,0.9298016196,2.578606759,0.7732225603
4.2,1.109089331,1.792877112,0.3679748574
4.3,1.200482211,0.9139288015,0.4921001369
4.4,1.200448142,-0.0003406871222,1.570975514
4.5,1.108976787,-0.9147135553,0.5090164589
4.6,0.9297039389,-1.792728479,0.4724072368
4.7,0.6718966844,-2.578072545,1.17354559
4.8,0.3530473322,-3.188493522,1.217278942
4.9,0.0003469339475,-3.527003983,-0.3511230547
5,-0.3523807406,-3.527276746,-0.4556079234
5.1,-0.6712219328,-3.188411922,-0.5194766353
5.2,-0.9289873583,-2.577654255,-0.2824048451
5.3,-1.108319012,-1.793316542,-1.191007074
5.4,-1.199888044,-0.9156903117,-1.005581866
5.5,-1.200075058,-0.001870144214,-0.6988650084
5.6,-1.108890258,0.9118479998,-0.7647748524
5.7,-0.9299133938,1.789768643,-0.9144149831
5.8,-0.6721531986,2.577601951,-0.6628191593
5.9,-0.3533954369,3.187577617,-0.758554148
6,-0.0005898690782,3.528055678,-0.07204199224
6.1,0.3521052779,3.52695147,0.2649584397
6.2,0.6709347297,3.188294517,0.6913693439
6.3,0.9287898839,2.578551543,0.63429774
6.4,1.108135772,1.793458881,1.036329736
6.5,1.199766214,0.9163044241,1.235769092
6.6,1.20005127,0.002850557468,0.9786864612
6.7,1.108866597,-0.9118467349,1.000721052
6.8,0.9298171439,-1.790494528,0.8174572142
6.9,0.6722252979,-2.57591846,0.6227540027
7,0.3535246375,-3.187006604,0.1297392089
7.1,0.0007335390652,-3.527910984,0.0956818175
7.2,-0.3522428482,-3.529763873,-0.3741897932
7.3,-0.6714663066,-3.192234584,0.005815850736
7.4,-0.9296086406,-2.581423339,-0.3293794408
7.5,-1.109120774,-1.795121335,-0.7795534158
7.6,-1.200734205,-0.9161343078,-1.161222042
7.7,-1.200931252,-0.001970473672,-1.26609957
7.8,-1.109646347,0.9128490478,-0.538198488
7.9,-0.9304462748,1.792000726,-0.7230618917
8,-0.6726120556,2.578342192,-0.478988231
8.1,-0.353612793,3.189992626,-0.8696651175
8.2,-0.0007087405748,3.529040524,0.277522804
8.3,0.3522285339,3.529372745,0.4813164796
8.4,0.6712840785,3.190555446,0.288862758
8.5,0.9292026275,2.57918549,0.6596855475
8.6,1.108577746,1.79375119,0.9741805199
8.7,1.200100014,0.9152226706,0.9478153615
8.8,1.200186941,0.0008692738711,0.8444554534
8.9,1.108882265,-0.9130467593,0.8641546321
9,0.929803013,-1.790792519,0.7259089464
9.1,0.6721629377,-2.576400753,0.6684486442
9.2,0.3534281166,-3.187348211,0.7875636574
9.3,0.0006969796054,-3.52731137,-0.7693005527
9.4,-0.3521105029,-3.528074825,-0.4159346705
9.5,-0.6712540309,-3.191435281,-0.5690147087
9.6,-0.9295271668,-2.582731358,-0.7125389786
9.7,-1.109321396,-1.797942289,-1.006971105
9.8,-1.20137693,-0.9205553431,-1.459553678
9.9,-1.201910593,-0.00533663106,-0.8343310575
10,-1.11103402,0.9087657281,-0.3779529315
10.1,-0.9322821643,1.787518559,-1.263140629
10.2,-0.6746278309,2.576543333,-0.3654583144
10.3,-0.3557352049,3.18892626,-0.4468372005
10.4,-0.0026025953,3.531326096,-0.02099989611
10.5,0.3506919669,3.532945622,0.02767818689
10.6,0.670263952,3.195719851,0.520856005
10.7,0.9288019156,2.585379637,1.190916489
10.8,1.108737381,1.799354652,1.069933106
10.9,1.200943983,0.922066021,1.452074212
11,1.201511303,0.005673204248,1.285809221
11.1,1.110635414,-0.9087588985,1.027707052
11.2,0.9318875564,-1.787478572,1.325927315
11.3,0.6743308077,-2.575567487,0.7560726814
11.4,0.3553782918,-3.189525159,0.5963414974
11.5,0.002299580014,-3.530787118,-0.08667170807
11.6,-0.3510576696,-3.533572496,-0.3239274167
11.7,-0.6706559287,-3.195982591,-0.8307271315
11.8,-0.9292828541,-2.586269254,-0.5043158202
11.9,-1.109152764,-1.798699103,-1.248812718
12,-1.201215558,-0.9206279388,-0.6977737615
12.1,-1.201904525,-0.006889670437,-0.989922832
12.2,-1.111074996,0.9082952971,-0.5448020492
12.3,-0.9323085833,1.787664124,-0.5777372564
12.4,-0.6746321529,2.576764303,-0.07841624641
12.5,-0.3555979613,3.190341916,-0.128918572
12.6,-0.002374471487,3.532234898,-0.473986546
12.7,0.3512282841,3.536027555,0.3239654132
12.8,0.6709607244,3.197324403,0.2701365792
12.9,0.9296366195,2.586758951,0.645918694
13,1.109602257,1.799656378,1.348890284
13.1,1.20167823,0.920759728,1.123906036
13.2,1.202123972,0.004457420963,0.7231274923
13.3,1.1111249,-0.9099907232,0.5920831086
13.4,0.9321865503,-1.789383496,0.8127598455
13.5,0.6743341561,-2.578523941,0.2594093045
13.6,0.3551287862,-3.1920537,0.146369035
13.7,0.001844306854,-3.532844793,0.09544714727
13.8,-0.3515372862,-3.53381593,0.002252124419
13.9,-0.6709393063,-3.194020201,-0.43909352
14,-0.9290590158,-2.581197095,-1.488443886
14.1,-1.108553589,-1.794945735,-0.8037445671
14.2,-1.200342262,-0.9178867245,-0.9105529806
14.3,-1.200898943,-0.005566816231,-0.8081973628
14.4,-1.109963901,0.9093504191,-0.410819729
14.5,-0.9312436873,1.787202141,-1.421334322
14.6,-0.6738532144,2.57390473,-0.8013326301
14.7,-0.3553093939,3.185438205,-0.1706085538
14.8,-0.002652580275,3.526568136,-0.477130897
14.9,0.3503710492,3.530236294,0.7860310517
15,0.6697379178,3.193668686,0.7312875238
15.1,0.9281903519,2.584524342,1.054511956
15.2,1.108006565,1.798162126,0.7235274041
15.3,1.199874399,0.9186783405,1.176122673
15.4,1.200265033,0.003906344322,1.252676557
15.5,1.109207837,-0.9105719615,0.9652095663
15.6,0.9304939754,-1.787138615,0.8722354262
15.7,0.6731252644,-2.573687111,0.7045355721
15.8,0.3546960892,-3.184291752,0.08830180883
15.9,0.002146325807,-3.525497634,-0.04211227991
16,-0.3507324863,-3.528788121,-0.3893425528
16.1,-0.6700020438,-3.192695575,-0.5059694297
16.2,-0.9284252415,-2.584231976,-0.5007302291
16.3,-1.108089129,-1.796638876,-1.212408185
16.4,-1.200050629,-0.9196150023,-0.9695601398
16.5,-1.200493447,-0.004428173634,-0.4877811124
16.6,-1.109575993,0.9091745381,-1.118586534
16.7,-0.9307158443,1.788601485,-1.048722697
16.8,-0.6731363221,2.575795222,-0.5627493885
16.9,-0.3544128775,3.187234446,-0.09372423486
17,-0.001648905528,3.52763972,0.001778911888
17.1,0.3512113452,3.528602508,0.7427236374
17.2,0.6703663246,3.191549793,0.8783112733
17.3,0.9285289165,2.58162592,1.05328563
17.4,1.108016392,1.794874756,1.06104984
17.5,1.199594733,0.9157834118,1.630188088
17.6,1.199771713,0.001769792767,0.8704078333
17.7,1.108681684,-0.9109002855,0.2940550155
17.8,0.9297971966,-1.788844875,1.28277499
17.9,0.6722738246,-2.57523372,0.4854568239
18,0.3536856266,-3.18588198,0.3787217811
18.1,0.001250343506,-3.524352831,0.3941155486
18.2,-0.35128566,-3.525360035,-0.8247831
18.3,-0.6701060324,-3.188203724,-0.9965632583
18.4,-0.9278888979,-2.577828654,-1.280739448
18.5,-1.107113957,-1.792250596,-1.132652532
18.6,-1.198443659,-0.9132970163,-0.7995830234
18.7,-1.198377437,0.0006622172712,-0.7741935583
18.8,-1.107058426,0.9131901111,-0.811504554
18.9,-0.9281368852,1.78921541,-1.224334482
19,-0.6705207387,2.576161466,-1.3144251
19.1,-0.3517734674,3.187472713,-0.3282571386
19.2,0.0007575033165,3.525309707,-0.1407753068
19.3,0.3531758442,3.524183409,0.4836951061
19.4,0.6718095629,3.186337187,0.832989432
19.5,0.9292748089,2.57465246,0.8426586159
19.6,1.108054217,1.787794085,1.122871702
19.7,1.199114961,0.9106074393,1.000481433
19.8,1.198734707,-0.003802543824,1.090599263
19.9,1.106965957,-0.9176874998,0.6829434641
