t,x_x,x_vx,x_y,x_vy,y_range,y_bearing
87,31.89384046,0.3497073639,173.3644849,1.093382834,179.1777114,1.33525414
88,32.15223443,0.2865347235,174.4791349,1.167612652,177.1329228,1.424284974
89,32.4058057,0.2777777365,175.7084357,1.271788904,177.819702,1.488281137
90,32.69711658,0.3115946113,176.9303794,1.189644577,176.0288523,1.329225123
91,32.9999053,0.3175554657,178.1777488,1.223305093,183.3594093,1.345790494
92,33.31024337,0.3808021436,179.3581228,1.117795962,178.1673906,1.398941689
93,33.70272566,0.4405416333,180.4765785,1.185233517,186.9244106,1.466735639
94,34.19273432,0.5568331721,181.6938039,1.349604069,190.3095913,1.323664362
95,34.73772248,0.438889534,183.1360297,1.4656516,188.234145,1.395792523
96,35.18284049,0.5137097888,184.5091748,1.264309493,186.4023738,1.473439797
97,35.60410046,0.3353282371,185.7988667,1.328592532,191.4492952,1.298876472
98,35.95537939,0.2886159886,186.9940853,1.131249385,188.8761118,1.316780475
99,36.21675738,0.2707282742,188.165862,1.198952424,196.2972679,1.359468765
