date,rate
1999-08-12,1.1829
1999-08-13,1.1823
1999-08-16,1.18
1999-08-17,1.1714
1999-08-18,1.1763
1999-08-19,1.1742
1999-08-20,1.1796
1999-08-23,1.1849
1999-08-24,1.1853
1999-08-25,1.1838
1999-08-26,1.1874
1999-08-27,1.1786
1999-08-30,1.1849
1999-08-31,1.1878
1999-09-01,1.1925
1999-09-02,1.1963
1999-09-03,1.2008
1999-09-06,1.2055
1999-09-07,1.2045
1999-09-08,1.2102
1999-09-09,1.2039
1999-09-10,1.1978
1999-09-13,1.1951
1999-09-14,1.1957
1999-09-15,1.1932
1999-09-16,1.1978
1999-09-17,1.1959
1999-09-20,1.1988
1999-09-21,1.2034
1999-09-22,1.2029
1999-09-23,1.2066
1999-09-24,1.2067
1999-09-27,1.2078
1999-09-28,1.1999
1999-09-29,1.1984
1999-09-30,1.1986
1999-10-01,1.1929
1999-10-04,1.2024
1999-10-05,1.2038
1999-10-06,1.2055
1999-10-07,1.2045
1999-10-08,1.2048
1999-10-11,1.2128
1999-10-12,1.2079
1999-10-13,1.2135
1999-10-14,1.222
1999-10-15,1.2304
1999-10-18,1.2293
1999-10-19,1.2296
1999-10-20,1.2271
1999-10-21,1.2276
1999-10-22,1.2333
1999-10-25,1.2369
1999-10-26,1.2457
1999-10-27,1.2401
1999-10-28,1.2447
1999-10-29,1.2341
1999-11-01,1.2422
1999-11-02,1.2377
1999-11-03,1.2465
1999-11-04,1.2515
1999-11-05,1.2464
1999-11-08,1.2569
1999-11-09,1.2621
1999-11-10,1.2631
1999-11-11,1.2649
1999-11-12,1.2669
1999-11-15,1.2644
1999-11-16,1.2742
1999-11-17,1.2762
1999-11-18,1.2803
1999-11-19,1.2782
1999-11-22,1.2732
1999-11-23,1.2794
1999-11-24,1.2788
1999-11-25,1.2748
1999-11-26,1.2772
1999-11-29,1.2782
1999-11-30,1.278
1999-12-01,1.279
1999-12-02,1.2784
1999-12-03,1.2735
1999-12-06,1.2698
1999-12-07,1.2689
1999-12-08,1.2634
1999-12-09,1.2688
1999-12-10,1.2756
1999-12-13,1.2691
1999-12-14,1.2596
1999-12-15,1.2588
1999-12-16,1.2567
1999-12-17,1.2634
1999-12-20,1.261
1999-12-21,1.2714
1999-12-22,1.2703
1999-12-23,1.2712
1999-12-24,1.2716
1999-12-27,1.2688
1999-12-28,1.2744
1999-12-29,1.2669
1999-12-30,1.2681
1999-12-31,1.2669
2000-01-03,1.2664
2000-01-04,1.2678
2000-01-05,1.273
2000-01-06,1.2742
2000-01-07,1.273
2000-01-10,1.2723
2000-01-11,1.2702
2000-01-12,1.2659
2000-01-13,1.2704
2000-01-14,1.2759
2000-01-17,1.2715
2000-01-18,1.2735
2000-01-19,1.2798
2000-01-20,1.2779
2000-01-21,1.2736
2000-01-24,1.2781
2000-01-25,1.2809
2000-01-26,1.2797
2000-01-27,1.2749
2000-01-28,1.2635
2000-01-31,1.2624
2000-02-01,1.2603
2000-02-02,1.262
2000-02-03,1.2562
2000-02-04,1.2592
2000-02-07,1.2664
2000-02-08,1.2721
2000-02-09,1.2665
2000-02-10,1.2692
2000-02-11,1.2684
2000-02-14,1.2784
2000-02-15,1.2783
2000-02-16,1.2745
2000-02-17,1.2794
2000-02-18,1.2837
2000-02-21,1.2765
2000-02-22,1.2733
2000-02-23,1.273
2000-02-24,1.2616
2000-02-25,1.2616
2000-02-28,1.2642
2000-02-29,1.2615
2000-03-01,1.2665
2000-03-02,1.2682
2000-03-03,1.2591
2000-03-06,1.2518
2000-03-07,1.2572
2000-03-08,1.2538
2000-03-09,1.2522
2000-03-10,1.2609
2000-03-13,1.2589
2000-03-14,1.258
2000-03-15,1.2515
2000-03-16,1.2535
2000-03-17,1.2478
2000-03-20,1.2509
2000-03-21,1.2527
2000-03-22,1.2419
2000-03-23,1.2394
2000-03-24,1.2382
2000-03-27,1.2471
2000-03-28,1.2457
2000-03-29,1.2398
2000-03-30,1.2407
2000-03-31,1.2424
2000-04-03,1.242
2000-04-04,1.2383
2000-04-05,1.2337
2000-04-06,1.2368
2000-04-07,1.2366
2000-04-10,1.2394
2000-04-11,1.2379
2000-04-12,1.2317
2000-04-13,1.2392
2000-04-14,1.2365
2000-04-17,1.2385
2000-04-18,1.2371
2000-04-19,1.2423
2000-04-20,1.2523
2000-04-21,1.2604
2000-04-24,1.2559
2000-04-25,1.2561
2000-04-26,1.255
2000-04-27,1.2486
2000-04-28,1.2458
2000-05-01,1.2605
2000-05-02,1.2583
2000-05-03,1.2543
2000-05-04,1.2622
2000-05-05,1.2615
2000-05-08,1.2631
2000-05-09,1.2727
2000-05-10,1.269
2000-05-11,1.2688
2000-05-12,1.2752
2000-05-15,1.2825
2000-05-16,1.287
2000-05-17,1.2934
2000-05-18,1.2901
2000-05-19,1.2904
2000-05-22,1.2892
2000-05-23,1.2892
2000-05-24,1.288
2000-05-25,1.2883
2000-05-26,1.2873
2000-05-29,1.2879
2000-05-30,1.2919
2000-05-31,1.2844
2000-06-01,1.2931
2000-06-02,1.3022
2000-06-05,1.3035
2000-06-06,1.3006
2000-06-07,1.2941
2000-06-08,1.2953
2000-06-09,1.2976
2000-06-12,1.2957
2000-06-13,1.2971
2000-06-14,1.292
2000-06-15,1.2958
2000-06-16,1.2978
2000-06-19,1.3023
2000-06-20,1.3118
2000-06-21,1.3134
2000-06-22,1.3117
2000-06-23,1.3198
2000-06-26,1.3179
2000-06-27,1.3195
2000-06-28,1.3106
2000-06-29,1.3157
2000-06-30,1.3057
2000-07-03,1.2936
2000-07-04,1.2921
2000-07-05,1.3022
2000-07-06,1.2998
2000-07-07,1.2968
2000-07-10,1.3067
2000-07-11,1.3017
2000-07-12,1.3004
2000-07-13,1.3024
2000-07-14,1.3008
2000-07-17,1.2973
2000-07-18,1.2981
2000-07-19,1.3091
2000-07-20,1.2986
2000-07-21,1.2982
2000-07-24,1.2904
2000-07-25,1.2866
2000-07-26,1.2832
2000-07-27,1.2758
2000-07-28,1.2752
2000-07-31,1.2773
2000-08-01,1.276
2000-08-02,1.2734
2000-08-03,1.2733
2000-08-04,1.2741
2000-08-07,1.2836
2000-08-08,1.2828
2000-08-09,1.2805
2000-08-10,1.2794
2000-08-11,1.2777
2000-08-14,1.2874
2000-08-15,1.2895
2000-08-16,1.2861
2000-08-17,1.2812
2000-08-18,1.288
2000-08-21,1.2868
2000-08-22,1.2834
2000-08-23,1.2795
2000-08-24,1.2716
2000-08-25,1.2626
2000-08-28,1.2623
2000-08-29,1.2535
2000-08-30,1.2663
2000-08-31,1.2655
2000-09-01,1.2667
2000-09-04,1.276
2000-09-05,1.2832
2000-09-06,1.2829
2000-09-07,1.2922
2000-09-08,1.2979
2000-09-11,1.2984
2000-09-12,1.3073
2000-09-13,1.3125
2000-09-14,1.3158
2000-09-15,1.3214
2000-09-18,1.3173
2000-09-19,1.3199
2000-09-20,1.3274
2000-09-21,1.326
2000-09-22,1.316
2000-09-25,1.3189
2000-09-26,1.3307
2000-09-27,1.3312
2000-09-28,1.3287
2000-09-29,1.3291
2000-10-02,1.3293
2000-10-03,1.3282
2000-10-04,1.3241
2000-10-05,1.3167
2000-10-06,1.3205
2000-10-09,1.3177
2000-10-10,1.3203
2000-10-11,1.3178
2000-10-12,1.3223
2000-10-13,1.3214
2000-10-16,1.3157
2000-10-17,1.307
2000-10-18,1.3157
2000-10-19,1.3117
2000-10-20,1.3142
2000-10-23,1.313
2000-10-24,1.3081
2000-10-25,1.2999
2000-10-26,1.2873
2000-10-27,1.2897
2000-10-30,1.2993
2000-10-31,1.2954
2000-11-01,1.292
2000-11-02,1.297
2000-11-03,1.3056
2000-11-06,1.2959
2000-11-07,1.3014
2000-11-08,1.3027
2000-11-09,1.3012
2000-11-10,1.2987
2000-11-13,1.2941
2000-11-14,1.2926
2000-11-15,1.292
2000-11-16,1.2921
2000-11-17,1.2925
2000-11-20,1.2996
2000-11-21,1.3046
2000-11-22,1.3025
2000-11-23,1.3066
2000-11-24,1.3083
2000-11-27,1.3053
2000-11-28,1.307
2000-11-29,1.3067
2000-11-30,1.3144
2000-12-01,1.3161
2000-12-04,1.3102
2000-12-05,1.3112
2000-12-06,1.3064
2000-12-07,1.3174
2000-12-08,1.316
2000-12-11,1.3153
2000-12-12,1.3097
2000-12-13,1.3019
2000-12-14,1.3137
2000-12-15,1.3112
2000-12-18,1.3192
2000-12-19,1.3151
2000-12-20,1.3237
2000-12-21,1.3252
2000-12-22,1.3218
2000-12-25,1.3248
2000-12-26,1.329
2000-12-27,1.3323
2000-12-28,1.3307
2000-12-29,1.3341
2001-01-01,1.3367
2001-01-02,1.3317
2001-01-03,1.3304
2001-01-04,1.3282
2001-01-05,1.3229
2001-01-08,1.3165
2001-01-09,1.3153
2001-01-10,1.3176
2001-01-11,1.3233
2001-01-12,1.3245
2001-01-15,1.3239
2001-01-16,1.3255
2001-01-17,1.3221
2001-01-18,1.3144
2001-01-19,1.3116
2001-01-22,1.3099
2001-01-23,1.3095
2001-01-24,1.3145
2001-01-25,1.3191
2001-01-26,1.324
2001-01-29,1.3127
2001-01-30,1.3109
2001-01-31,1.3107
2001-02-01,1.306
2001-02-02,1.3081
2001-02-05,1.3049
2001-02-06,1.3014
2001-02-07,1.2995
2001-02-08,1.2986
2001-02-09,1.2869
2001-02-12,1.2862
2001-02-13,1.2826
2001-02-14,1.2869
2001-02-15,1.2961
2001-02-16,1.2978
2001-02-19,1.3016
2001-02-20,1.2995
2001-02-21,1.3011
2001-02-22,1.3004
2001-02-23,1.3002
2001-02-26,1.3015
2001-02-27,1.3101
2001-02-28,1.3031
2001-03-01,1.2955
2001-03-02,1.2952
2001-03-05,1.2969
2001-03-06,1.2934
2001-03-07,1.2926
2001-03-08,1.2968
2001-03-09,1.2997
2001-03-12,1.3034
2001-03-13,1.3058
2001-03-14,1.3093
2001-03-15,1.3117
2001-03-16,1.3039
2001-03-19,1.3118
2001-03-20,1.3045
2001-03-21,1.3026
2001-03-22,1.3042
2001-03-23,1.319
2001-03-26,1.3198
2001-03-27,1.3166
2001-03-28,1.3194
2001-03-29,1.3196
2001-03-30,1.3139
2001-04-02,1.3193
2001-04-03,1.3194
2001-04-04,1.3209
2001-04-05,1.3241
2001-04-06,1.3284
2001-04-09,1.3314
2001-04-10,1.3248
2001-04-11,1.3163
2001-04-12,1.3073
2001-04-13,1.3032
2001-04-16,1.3026
2001-04-17,1.3008
2001-04-18,1.3003
2001-04-19,1.3094
2001-04-20,1.3111
2001-04-23,1.319
2001-04-24,1.3129
2001-04-25,1.3085
2001-04-26,1.3097
2001-04-27,1.309
2001-04-30,1.3173
2001-05-01,1.3181
2001-05-02,1.3191
2001-05-03,1.3248
2001-05-04,1.3284
2001-05-07,1.3274
2001-05-08,1.3226
2001-05-09,1.3223
2001-05-10,1.3313
2001-05-11,1.3321
2001-05-14,1.3278
2001-05-15,1.3203
2001-05-16,1.3185
2001-05-17,1.3178
2001-05-18,1.3186
2001-05-21,1.3197
2001-05-22,1.3216
2001-05-23,1.3245
2001-05-24,1.3328
2001-05-25,1.341
2001-05-28,1.3407
2001-05-29,1.3411
2001-05-30,1.3357
2001-05-31,1.3336
2001-06-01,1.3433
2001-06-04,1.3437
2001-06-05,1.3292
2001-06-06,1.3271
2001-06-07,1.3238
2001-06-08,1.3311
2001-06-11,1.3323
2001-06-12,1.3279
2001-06-13,1.3239
2001-06-14,1.3248
2001-06-15,1.32
2001-06-18,1.3121
2001-06-19,1.3136
2001-06-20,1.3102
2001-06-21,1.3057
2001-06-22,1.3079
2001-06-25,1.3112
2001-06-26,1.3096
2001-06-27,1.3103
2001-06-28,1.3033
2001-06-29,1.3048
2001-07-02,1.2992
2001-07-03,1.3007
2001-07-04,1.3044
2001-07-05,1.2998
2001-07-06,1.2927
2001-07-09,1.2872
2001-07-10,1.287
2001-07-11,1.2792
2001-07-12,1.2767
2001-07-13,1.2733
2001-07-16,1.2749
2001-07-17,1.2714
2001-07-18,1.2623
2001-07-19,1.2697
2001-07-20,1.2606
2001-07-23,1.2567
2001-07-24,1.2533
2001-07-25,1.2542
2001-07-26,1.2544
2001-07-27,1.2491
2001-07-30,1.2485
2001-07-31,1.2464
2001-08-01,1.2475
2001-08-02,1.2385
2001-08-03,1.2414
2001-08-06,1.2455
2001-08-07,1.2425
2001-08-08,1.2383
2001-08-09,1.2393
2001-08-10,1.241
2001-08-13,1.2412
2001-08-14,1.2437
2001-08-15,1.2355
2001-08-16,1.2467
2001-08-17,1.2502
2001-08-20,1.2462
2001-08-21,1.2487
2001-08-22,1.2424
2001-08-23,1.241
2001-08-24,1.2375
2001-08-27,1.2406
2001-08-28,1.2501
2001-08-29,1.2476
2001-08-30,1.2456
2001-08-31,1.2447
2001-09-03,1.2425
2001-09-04,1.2438
2001-09-05,1.2412
2001-09-06,1.2444
2001-09-07,1.2477
2001-09-10,1.2415
2001-09-11,1.2476
2001-09-12,1.2487
2001-09-13,1.2551
2001-09-14,1.2574
2001-09-17,1.2565
2001-09-18,1.2533
2001-09-19,1.2514
2001-09-20,1.251
2001-09-21,1.2596
2001-09-24,1.2598
2001-09-25,1.2594
2001-09-26,1.264
2001-09-27,1.2642
2001-09-28,1.2637
2001-10-01,1.2568
2001-10-02,1.2465
2001-10-03,1.2426
2001-10-04,1.2497
2001-10-05,1.2466
2001-10-08,1.2523
2001-10-09,1.2526
2001-10-10,1.2594
2001-10-11,1.2574
2001-10-12,1.2581
2001-10-15,1.2551
2001-10-16,1.2595
2001-10-17,1.2555
2001-10-18,1.25
2001-10-19,1.2612
2001-10-22,1.2623
2001-10-23,1.2602
2001-10-24,1.2549
2001-10-25,1.2593
2001-10-26,1.251
2001-10-29,1.26
2001-10-30,1.2645
2001-10-31,1.2749
2001-11-01,1.2784
2001-11-02,1.2929
2001-11-05,1.2981
2001-11-06,1.3025
2001-11-07,1.2975
2001-11-08,1.3006
2001-11-09,1.303
2001-11-12,1.3018
2001-11-13,1.3032
2001-11-14,1.3037
2001-11-15,1.2966
2001-11-16,1.2965
2001-11-19,1.2937
2001-11-20,1.2907
2001-11-21,1.2966
2001-11-22,1.3113
2001-11-23,1.3163
2001-11-26,1.3116
2001-11-27,1.3117
2001-11-28,1.3145
2001-11-29,1.3104
2001-11-30,1.3101
2001-12-03,1.312
2001-12-04,1.3253
2001-12-05,1.3253
2001-12-06,1.3194
2001-12-07,1.3242
2001-12-10,1.3258
2001-12-11,1.3199
2001-12-12,1.325
2001-12-13,1.3245
2001-12-14,1.3245
2001-12-17,1.325
2001-12-18,1.3309
2001-12-19,1.3353
2001-12-20,1.3369
2001-12-21,1.332
2001-12-24,1.3331
2001-12-25,1.3328
2001-12-26,1.3387
2001-12-27,1.3348
2001-12-28,1.3348
2001-12-31,1.3362
2002-01-01,1.3397
2002-01-02,1.3479
2002-01-03,1.3471
2002-01-04,1.3476
2002-01-07,1.345
2002-01-08,1.3464
2002-01-09,1.3439
2002-01-10,1.3466
2002-01-11,1.3491
2002-01-14,1.3497
2002-01-15,1.3365
2002-01-16,1.3288
2002-01-17,1.3299
2002-01-18,1.3316
2002-01-21,1.3417
2002-01-22,1.3438
2002-01-23,1.3347
2002-01-24,1.3336
2002-01-25,1.3353
2002-01-28,1.3365
2002-01-29,1.3409
2002-01-30,1.3418
2002-01-31,1.3455
2002-02-01,1.3428
2002-02-04,1.3371
2002-02-05,1.3319
2002-02-06,1.3262
2002-02-07,1.3242
2002-02-08,1.3301
2002-02-11,1.3226
2002-02-12,1.3227
2002-02-13,1.317
2002-02-14,1.3222
2002-02-15,1.3204
2002-02-18,1.3273
2002-02-19,1.3248
2002-02-20,1.3251
2002-02-21,1.3295
2002-02-22,1.3299
2002-02-25,1.327
2002-02-26,1.3364
2002-02-27,1.3345
2002-02-28,1.3482
2002-03-01,1.3531
2002-03-04,1.3507
2002-03-05,1.3482
2002-03-06,1.3398
2002-03-07,1.3433
2002-03-08,1.343
2002-03-11,1.3417
2002-03-12,1.3394
2002-03-13,1.3433
2002-03-14,1.3404
2002-03-15,1.3455
2002-03-18,1.346
2002-03-19,1.3396
2002-03-20,1.3315
2002-03-21,1.3336
2002-03-22,1.3299
2002-03-25,1.3248
2002-03-26,1.327
2002-03-27,1.3383
2002-03-28,1.3358
2002-03-29,1.3418
2002-04-01,1.3392
2002-04-02,1.3399
2002-04-03,1.3399
2002-04-04,1.3366
2002-04-05,1.3426
2002-04-08,1.3446
2002-04-09,1.3445
2002-04-10,1.3521
2002-04-11,1.3511
2002-04-12,1.3475
2002-04-15,1.3473
2002-04-16,1.346
2002-04-17,1.3418
2002-04-18,1.3342
2002-04-19,1.3318
2002-04-22,1.3299
2002-04-23,1.3373
2002-04-24,1.3299
2002-04-25,1.3322
2002-04-26,1.331
2002-04-29,1.3279
2002-04-30,1.3281
2002-05-01,1.3254
2002-05-02,1.325
2002-05-03,1.3236
2002-05-06,1.3256
2002-05-07,1.3356
2002-05-08,1.3286
2002-05-09,1.3259
2002-05-10,1.3274
2002-05-13,1.3326
2002-05-14,1.3276
2002-05-15,1.3323
2002-05-16,1.335
2002-05-17,1.3327
2002-05-20,1.3334
2002-05-21,1.329
2002-05-22,1.3331
2002-05-23,1.3341
2002-05-24,1.3424
2002-05-27,1.3479
2002-05-28,1.355
2002-05-29,1.3499
2002-05-30,1.3508
2002-05-31,1.3494
2002-06-03,1.3507
2002-06-04,1.3518
2002-06-05,1.3525
2002-06-06,1.3554
2002-06-07,1.3558
2002-06-10,1.3541
2002-06-11,1.3475
2002-06-12,1.3538
2002-06-13,1.3458
2002-06-14,1.3582
2002-06-17,1.3623
2002-06-18,1.3673
2002-06-19,1.3641
2002-06-20,1.3642
2002-06-21,1.3595
2002-06-24,1.3651
2002-06-25,1.3654
2002-06-26,1.3694
2002-06-27,1.3747
2002-06-28,1.3647
2002-07-01,1.3659
2002-07-02,1.3626
2002-07-03,1.3617
2002-07-04,1.365
2002-07-05,1.3597
2002-07-08,1.3579
2002-07-09,1.3561
2002-07-10,1.3646
2002-07-11,1.3633
2002-07-12,1.3573
2002-07-15,1.3532
2002-07-16,1.3453
2002-07-17,1.3411
2002-07-18,1.3419
2002-07-19,1.3435
2002-07-22,1.3448
2002-07-23,1.3388
2002-07-24,1.3354
2002-07-25,1.3317
2002-07-26,1.3296
2002-07-29,1.3304
2002-07-30,1.3209
2002-07-31,1.3225
2002-08-01,1.3205
2002-08-02,1.3233
2002-08-05,1.3265
2002-08-06,1.3292
2002-08-07,1.328
2002-08-08,1.3199
2002-08-09,1.3214
2002-08-12,1.3191
2002-08-13,1.3117
2002-08-14,1.3105
2002-08-15,1.3095
2002-08-16,1.307
2002-08-19,1.308
2002-08-20,1.2995
2002-08-21,1.2973
2002-08-22,1.2911
2002-08-23,1.2948
2002-08-26,1.2964
2002-08-27,1.3009
2002-08-28,1.3018
2002-08-29,1.3084
2002-08-30,1.3084
2002-09-02,1.3058
2002-09-03,1.3062
2002-09-04,1.3148
2002-09-05,1.318
2002-09-06,1.3217
2002-09-09,1.3228
2002-09-10,1.3267
2002-09-11,1.3274
2002-09-12,1.3371
2002-09-13,1.3397
2002-09-16,1.3347
2002-09-17,1.334
2002-09-18,1.3367
2002-09-19,1.3363
2002-09-20,1.339
2002-09-23,1.3364
2002-09-24,1.3414
2002-09-25,1.3428
2002-09-26,1.3456
2002-09-27,1.3433
2002-09-30,1.3472
2002-10-01,1.3395
2002-10-02,1.3298
2002-10-03,1.336
2002-10-04,1.3343
2002-10-07,1.3421
2002-10-08,1.3466
2002-10-09,1.3519
2002-10-10,1.3521
2002-10-11,1.351
2002-10-14,1.3527
2002-10-15,1.3474
2002-10-16,1.3504
2002-10-17,1.3495
2002-10-18,1.3481
2002-10-21,1.3486
2002-10-22,1.3522
2002-10-23,1.35
2002-10-24,1.3404
2002-10-25,1.3371
2002-10-28,1.3351
2002-10-29,1.3343
2002-10-30,1.3276
2002-10-31,1.3339
2002-11-01,1.341
2002-11-04,1.334
2002-11-05,1.3331
2002-11-06,1.3347
2002-11-07,1.3315
2002-11-08,1.328
2002-11-11,1.3355
2002-11-12,1.331
2002-11-13,1.343
2002-11-14,1.3338
2002-11-15,1.3397
2002-11-18,1.3357
2002-11-19,1.3359
2002-11-20,1.3392
2002-11-21,1.3396
2002-11-22,1.3429
2002-11-25,1.3397
2002-11-26,1.3497
2002-11-27,1.3465
2002-11-28,1.3495
2002-11-29,1.3571
2002-12-02,1.362
2002-12-03,1.3702
2002-12-04,1.3708
2002-12-05,1.3706
2002-12-06,1.379
2002-12-09,1.3814
2002-12-10,1.3708
2002-12-11,1.3641
2002-12-12,1.3641
2002-12-13,1.376
2002-12-16,1.379
2002-12-17,1.3781
2002-12-18,1.3701
2002-12-19,1.3637
2002-12-20,1.3588
2002-12-23,1.356
2002-12-24,1.3513
2002-12-25,1.35
2002-12-26,1.3556
2002-12-27,1.3511
2002-12-30,1.3519
2002-12-31,1.3436
2003-01-01,1.3378
2003-01-02,1.3412
2003-01-03,1.3397
2003-01-06,1.3356
2003-01-07,1.3409
2003-01-08,1.3435
2003-01-09,1.3427
2003-01-10,1.3506
2003-01-13,1.3465
2003-01-14,1.3422
2003-01-15,1.3368
2003-01-16,1.3322
2003-01-17,1.3322
2003-01-20,1.3267
2003-01-21,1.3253
2003-01-22,1.3182
2003-01-23,1.3188
2003-01-24,1.3167
2003-01-27,1.3148
2003-01-28,1.3225
2003-01-29,1.3242
2003-01-30,1.3284
2003-01-31,1.3224
2003-02-03,1.3209
2003-02-04,1.3324
2003-02-05,1.3346
2003-02-06,1.3385
2003-02-07,1.343
2003-02-10,1.3439
2003-02-11,1.3394
2003-02-12,1.3366
2003-02-13,1.3336
2003-02-14,1.3307
2003-02-17,1.331
2003-02-18,1.3265
2003-02-19,1.331
2003-02-20,1.3305
2003-02-21,1.3354
2003-02-24,1.3387
2003-02-25,1.3405
2003-02-26,1.3458
2003-02-27,1.3541
2003-02-28,1.3565
2003-03-03,1.3517
2003-03-04,1.362
2003-03-05,1.3549
2003-03-06,1.3582
2003-03-07,1.3615
2003-03-10,1.3671
2003-03-11,1.3707
2003-03-12,1.3605
2003-03-13,1.3615
2003-03-14,1.3604
2003-03-17,1.3609
2003-03-18,1.3558
2003-03-19,1.3565
2003-03-20,1.3507
2003-03-21,1.3457
2003-03-24,1.3479
2003-03-25,1.344
2003-03-26,1.3482
2003-03-27,1.3463
2003-03-28,1.3491
2003-03-31,1.3393
2003-04-01,1.3363
2003-04-02,1.3205
2003-04-03,1.3222
2003-04-04,1.3282
2003-04-07,1.3255
2003-04-08,1.3225
2003-04-09,1.3208
2003-04-10,1.3281
2003-04-11,1.3312
2003-04-14,1.3292
2003-04-15,1.3289
2003-04-16,1.3294
2003-04-17,1.3245
2003-04-18,1.331
2003-04-21,1.3253
2003-04-22,1.3165
2003-04-23,1.3148
2003-04-24,1.3167
2003-04-25,1.3145
2003-04-28,1.3146
2003-04-29,1.3155
2003-04-30,1.3126
2003-05-01,1.3107
2003-05-02,1.3079
2003-05-05,1.3107
2003-05-06,1.3041
2003-05-07,1.308
2003-05-08,1.3078
2003-05-09,1.3067
2003-05-12,1.3052
2003-05-13,1.3067
2003-05-14,1.3057
2003-05-15,1.3084
2003-05-16,1.3042
2003-05-19,1.3029
2003-05-20,1.301
2003-05-21,1.2921
2003-05-22,1.2936
2003-05-23,1.2994
2003-05-26,1.3013
2003-05-27,1.3034
2003-05-28,1.312
2003-05-29,1.3141
2003-05-30,1.3325
2003-06-02,1.3285
2003-06-03,1.3363
2003-06-04,1.3346
2003-06-05,1.3325
2003-06-06,1.3308
2003-06-09,1.3329
2003-06-10,1.3376
2003-06-11,1.3393
2003-06-12,1.3433
2003-06-13,1.3407
2003-06-16,1.3424
2003-06-17,1.3369
2003-06-18,1.3371
2003-06-19,1.3391
2003-06-20,1.3434
2003-06-23,1.3401
2003-06-24,1.3339
2003-06-25,1.3345
2003-06-26,1.3406
2003-06-27,1.3405
2003-06-30,1.3406
2003-07-01,1.3494
2003-07-02,1.3443
2003-07-03,1.3489
