date,ipca_12m
2007-12-01,5.24
2008-01-01,5.07
2008-02-01,4.64
2008-03-01,5.05
2008-04-01,5.05
2008-05-01,4.57
2008-06-01,4.73
2008-07-01,4.52
2008-08-01,3.94
2008-09-01,4.14
2008-10-01,3.95
2008-11-01,3.86
2008-12-01,3.63
2009-01-01,2.73
2009-02-01,2.74
2009-03-01,3.14
2009-04-01,3.17
2009-05-01,3.3
2009-06-01,4.51
2009-07-01,3.82
2009-08-01,4.37
2009-09-01,4.75
2009-10-01,5.14
2009-11-01,5.36
2009-12-01,6.2
2010-01-01,6.25
2010-02-01,6.88
2010-03-01,7.23
2010-04-01,7.76
2010-05-01,8.71
2010-06-01,7.66
2010-07-01,8.55
2010-08-01,7.91
2010-09-01,8.24
2010-10-01,8.63
2010-11-01,8.21
2010-12-01,7.72
2011-01-01,7.68
2011-02-01,7.96
2011-03-01,7.41
2011-04-01,7.61
2011-05-01,7.5
2011-06-01,7.28
2011-07-01,8.14
2011-08-01,7.75
2011-09-01,7.04
2011-10-01,7.8
2011-11-01,7.64
2011-12-01,8.16
2012-01-01,7.71
2012-02-01,7.91
2012-03-01,8.02
2012-04-01,7.99
2012-05-01,7.16
2012-06-01,7.13
2012-07-01,6.74
2012-08-01,6.27
2012-09-01,6.53
2012-10-01,5.63
2012-11-01,4.63
2012-12-01,4.79
2013-01-01,4.69
2013-02-01,3.95
2013-03-01,2.83
2013-04-01,2.87
2013-05-01,3.22
2013-06-01,2.53
2013-07-01,2.88
2013-08-01,3.06
2013-09-01,2.72
2013-10-01,3.2
2013-11-01,2.52
2013-12-01,3.48
2014-01-01,4.03
2014-02-01,4.03
2014-03-01,5.18
2014-04-01,4.51
2014-05-01,5.01
2014-06-01,5.34
2014-07-01,5.84
2014-08-01,5.04
2014-09-01,5.85
2014-10-01,5.51
2014-11-01,5.21
2014-12-01,5.64
2015-01-01,5.58
2015-02-01,5.89
2015-03-01,6.69
2015-04-01,7.2
2015-05-01,8.05
2015-06-01,8.98
2015-07-01,10.07
2015-08-01,10.08
2015-09-01,11.98
2015-10-01,11.16
2015-11-01,11.6
2015-12-01,11.7
2016-01-01,11.44
2016-02-01,10.95
2016-03-01,10.78
2016-04-01,10.31
2016-05-01,9.81
2016-06-01,9.67
2016-07-01,9.36
2016-08-01,8.8
2016-09-01,8.96
2016-10-01,8.4
2016-11-01,8.13
2016-12-01,7.63
2017-01-01,6.74
2017-02-01,6.39
2017-03-01,6.39
2017-04-01,6.0
2017-05-01,5.51
2017-06-01,5.32
2017-07-01,5.51
2017-08-01,4.84
2017-09-01,5.12
2017-10-01,4.89
2017-11-01,4.89
2017-12-01,5.32
2018-01-01,5.26
2018-02-01,5.26
2018-03-01,5.39
2018-04-01,4.94
2018-05-01,5.04
2018-06-01,4.59
2018-07-01,4.6
2018-08-01,4.24
2018-09-01,4.06
2018-10-01,3.96
2018-11-01,3.29
2018-12-01,3.95
2019-01-01,2.84
2019-02-01,2.66
2019-03-01,3.33
2019-04-01,3.26
2019-05-01,3.33
2019-06-01,3.54
2019-07-01,3.65
2019-08-01,3.76
2019-09-01,4.49
2019-10-01,4.74
2019-11-01,5.75
2019-12-01,5.93
2020-01-01,6.23
2020-02-01,6.86
2020-03-01,7.5
2020-04-01,7.56
2020-05-01,7.77
2020-06-01,8.29
2020-07-01,8.42
2020-08-01,8.24
2020-09-01,8.24
2020-10-01,8.37
2020-11-01,7.75
2020-12-01,7.63
2021-01-01,7.68
2021-02-01,8.32
2021-03-01,8.98
2021-04-01,9.86
2021-05-01,10.24
2021-06-01,10.55
2021-07-01,11.24
2021-08-01,11.63
2021-09-01,12.64
2021-10-01,12.65
2021-11-01,12.31
2021-12-01,11.41
2022-01-01,11.23
2022-02-01,10.9
2022-03-01,9.71
2022-04-01,9.1
2022-05-01,8.35
2022-06-01,7.11
2022-07-01,6.94
2022-08-01,6.47
2022-09-01,6.03
2022-10-01,5.28
2022-11-01,5.01
2022-12-01,4.66
2023-01-01,4.49
2023-02-01,3.92
2023-03-01,3.93
2023-04-01,2.79
2023-05-01,3.1
2023-06-01,2.8
2023-07-01,3.4
2023-08-01,2.59
2023-09-01,2.74
2023-10-01,3.04
2023-11-01,2.85
2023-12-01,3.63
