date,inflation,unemployment,gdp_gap
2001-04-01,2.7989,6.6418,-3.0622
2001-07-01,2.6029,6.7426,-3.9823
2001-10-01,2.4956,6.7957,-4.3809
2002-01-01,2.4056,5.9475,-2.2447
2002-04-01,2.9129,5.3768,-0.636
2002-07-01,3.1255,5.2329,0.1051
2002-10-01,3.1951,5.8991,-1.9752
2003-01-01,2.3518,5.6696,-2.2945
2003-04-01,3.1348,6.114,-1.9329
2003-07-01,3.0668,5.2186,-0.9178
2003-10-01,2.4794,5.2212,-0.5962
2004-01-01,2.6969,4.5925,0.2163
2004-04-01,3.2398,4.3236,1.3967
2004-07-01,2.9607,3.9316,1.28
2004-10-01,2.4874,4.4054,0.8328
2005-01-01,3.0743,4.4242,0.8833
2005-04-01,2.5583,4.5388,0.1907
2005-07-01,2.6701,4.7183,0.1487
2005-10-01,2.8052,4.3017,0.9405
2006-01-01,2.8207,3.4756,1.5055
2006-04-01,2.7781,3.0,3.2711
2006-07-01,2.7315,3.0,3.922
2006-10-01,2.7645,3.1818,2.9448
2007-01-01,3.2698,3.4883,2.8299
2007-04-01,2.4663,3.9413,1.4684
2007-07-01,2.3304,4.0432,1.8144
2007-10-01,2.897,4.2151,1.8422
2008-01-01,2.2722,5.2406,-0.2295
2008-04-01,1.474,6.1333,-3.1496
2008-07-01,1.5823,7.7658,-4.898
2008-10-01,1.0,7.5437,-5.3199
2009-01-01,1.0,7.4255,-4.7662
2009-04-01,1.0683,6.1811,-2.2588
2009-07-01,2.3279,5.5103,-0.6156
2009-10-01,2.3186,5.0121,-0.7115
2010-01-01,2.4574,4.285,0.3364
2010-04-01,1.9048,4.9727,-1.0489
2010-07-01,1.9489,4.6726,0.2145
2010-10-01,1.7519,4.9078,0.0171
2011-01-01,2.364,5.2014,-0.6227
2011-04-01,1.8444,4.6923,-0.4243
2011-07-01,1.0,4.8708,0.1236
2011-10-01,1.5019,5.2647,-1.3237
2012-01-01,1.9318,4.3904,1.0321
2012-04-01,1.8054,4.342,1.2673
2012-07-01,1.4841,4.3342,1.1828
2012-10-01,2.0483,4.0144,1.6614
2013-01-01,2.447,4.8087,-0.0545
2013-04-01,2.6254,4.8339,0.7534
2013-07-01,2.6065,4.6559,0.374
2013-10-01,2.7903,3.8568,1.4715
2014-01-01,2.3566,3.701,2.1864
2014-04-01,2.0918,4.2783,0.6991
2014-07-01,2.1591,4.1383,1.1735
2014-10-01,2.0976,4.2429,0.6604
2015-01-01,1.4729,4.4566,0.3472
2015-04-01,1.9029,5.026,-0.5866
2015-07-01,1.1579,5.9032,-2.7804
2015-10-01,1.9096,5.435,-1.1108
2016-01-01,1.4788,5.9515,-2.2017
2016-04-01,1.0,6.1584,-2.9244
2016-07-01,1.0,6.8932,-3.5936
2016-10-01,1.0,7.0221,-3.9923
2017-01-01,2.0776,6.8252,-3.303
2017-04-01,1.1019,6.6365,-2.8985
2017-07-01,1.5127,6.3402,-3.035
2017-10-01,1.8851,5.2053,-1.2886
2018-01-01,2.2824,5.2523,-1.2653
2018-04-01,1.0,4.766,0.0799
2018-07-01,1.5202,4.4162,0.8427
2018-10-01,1.9768,4.0006,1.849
2019-01-01,1.5582,4.2492,0.9389
2019-04-01,1.8548,5.0168,-1.1581
2019-07-01,1.632,6.0286,-2.2773
2019-10-01,2.0676,7.2726,-4.1738
2020-01-01,1.0,8.6979,-7.1465
2020-04-01,1.0,8.727,-7.8751
2020-07-01,1.2998,7.9965,-6.0543
2020-10-01,1.042,6.9842,-4.8486
2021-01-01,2.7991,6.1831,-3.318
2021-04-01,2.4307,5.1008,-0.4201
2021-07-01,4.8683,3.8143,1.0882
2021-10-01,5.8397,3.7795,0.6526
2022-01-01,8.2101,3.9312,0.8436
2022-04-01,8.703,4.3631,-0.2082
2022-07-01,7.8492,4.0464,-0.0338
2022-10-01,6.732,4.9455,-1.1244
2023-01-01,4.8375,4.5435,0.0006
2023-04-01,4.4989,4.0713,1.0939
2023-07-01,2.1917,4.6442,0.4537
2023-10-01,2.3939,4.5928,-0.0491
